brand, name, size, Orig, Current, Save, Url,
"Nike","Hypervenom Phelon FG - Neo Lime/Black","SIZES  7, 8, 8, 9, 9, 10, 10, 11, 13","60.0","42.0","18.0","http://www.prodirectsoccer.com/Products/Nike-Football-Boots-Nike-Hypervenom-Phelon-FG-Firm-Ground-Soccer-Cleats-Neo-LimeBlack-72113.aspx",
"Concave","Quantum 2 SG - Black/White","SIZES  6, 7, 7, 8, 8, 9, 9, 10","0.0","129.99","-129.99","http://www.prodirectsoccer.com/Products/Concave-Soccer-Shoes-Concave-Quantum-2-SG-Soft-Ground-Soccer-Cleats-BlackWhite-73255.aspx",
"Concave","Quantum 2 FG - Black/White","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 13","0.0","129.99","-129.99","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-Quantum-2-FG-Firm-Ground-Soccer-Cleats-BlackWhite-73254.aspx",
"Concave","T 2 FG - Black/White/Red","SIZES  6, 7, 7, 8, 8, 9, 9, 10","0.0","74.99","-74.99","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-T-2-FG-Firm-Ground-Soccer-Cleats-BlackWhiteRed-73267.aspx",
"Umbro","Speciali 4 Pro HG - Blue/White","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","90.0","-90.0","http://www.prodirectsoccer.com/Products/Umbro-Football-Boots-Umbro-Speciali-4-Pro-HG-Firm-Ground-Soccer-Cleats-Blue-DepthsWhite-73727.aspx",
"Umbro","Speciali 4 Shield HG - Blue/White","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","30.0","-30.0","http://www.prodirectsoccer.com/Products/Umbro-Football-Boots-Umbro-Speciali-4-Shield-HG-Firm-Ground-Soccer-Cleats-Blue-DepthsWhite-73732.aspx",
"Concave","T 2 FG - Chrome/Blue","SIZES  6, 7, 7, 8, 8, 9, 9, 10","0.0","74.99","-74.99","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-T-2-FG-Firm-Ground-Soccer-Cleats-ChromeBlue-73266.aspx",
"Concave","T 2 Indoor - Chrome/Orange","SIZES  7, 7, 8, 8, 9, 9","0.0","74.99","-74.99","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-T-2-Indoor-Soccer-Cleats-ChromeOrange-73262.aspx",
"Concave","Halo+ FG - White/Red/Black","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13","0.0","119.99","-119.99","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-Halo-FG-Firm-Ground-Soccer-Cleats-WhiteRedBlack-73234.aspx",
"Concave","Halo+ SG - White/Blue","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11","0.0","119.0","-119.0","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-Halo-SG-Soft-Ground-Soccer-Cleats-WhiteBlue-73237.aspx",
"Concave","Halo+ FG - White/Blue","SIZES  6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 13","0.0","119.0","-119.0","http://www.prodirectsoccer.com/Products/Concave-Football-Boots-Concave-Halo-FG-Firm-Ground-Soccer-Cleats-WhiteBlue-73236.aspx",
"Umbro","Geometra 2 Pro FG - White/Cloisonne","SIZES  6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12","0.0","115.0","-115.0","http://www.prodirectsoccer.com/Products/Umbro-Football-Boots-Umbro-Geometra-2-Pro-FG-Firm-Ground-Soccer-Cleats-WhiteCloisonne-73750.aspx",
